student_id,course_id,mark,semester_number,predicted_mark,student_count_above_zero,course_count_above_zero,difference
1558,PHR 016,65.0,2,72.70653466567664,36,1323,7.706534665676642
33873,PHAC 556,95.0,2,87.2934718056354,15,1597,7.706528194364594
7268,PHPT 833,65.0,2,57.29932883531495,42,1161,7.700671164685048
19305,PHPT 931,71.0,2,78.69851878516573,47,1043,7.6985187851657315
2300,PHPT 932,65.0,2,72.69784026110696,63,1480,7.697840261106961
12831,PHR 718,84.0,1,76.30528249043552,51,1275,7.694717509564484
28474,PHAC 855,70.0,2,62.307314741785746,29,1303,7.692685258214254
33382,PHPT 535,88.0,1,80.30756504361779,14,1695,7.692434956382215
28011,PHBM 552,68.0,1,60.30783778543674,26,1437,7.692162214563261
7759,RQUE5,88.0,1,95.69195475970116,58,1637,7.6919547597011615
14091,PHBM 848,81.0,2,73.30898915295872,41,1165,7.691010847041284
11359,PHCC023,82.0,2,89.69063907940999,47,943,7.690639079409991
20414,PHR 718,79.0,1,71.30991700771992,51,1275,7.690082992280082
23332,PHBM 751,75.0,2,67.31177761574125,32,1447,7.688222384258751
24871,PHCC 629,78.0,2,70.31247102000984,37,1447,7.687528979990162
33354,PHR 319,59.0,2,66.68406003481972,14,1781,7.684060034819723
7673,PHE2,97.0,1,89.31781948509868,60,966,7.682180514901319
28006,PHAC 358,91.0,1,83.31826502879504,26,1723,7.6817349712049605
14843,PHR 718,72.0,1,79.67964441121708,48,1275,7.679644411217083
33124,PHAC 358,85.0,1,77.32042171074978,15,1723,7.679578289250216
28215,PHPT 535,65.0,1,72.67897653179097,26,1695,7.6789765317909655
34651,PHR 208,86.0,1,78.32168518970678,11,2107,7.678314810293216
34784,PHAC 556,86.0,1,78.32437037211807,22,1597,7.675629627881932
34071,PHPC 446,73.0,2,65.3257364930864,13,1888,7.674263506913604
24755,PHPP 642,49.0,2,56.6742234090894,26,1493,7.6742234090894
24128,PHR 015,72.0,2,79.67379747629855,38,1165,7.673797476298546
28451,PHPT 535,73.0,1,80.67362395144085,32,1695,7.673623951440845
22709,PHCC023,82.0,2,74.3267955183896,41,943,7.673204481610398
8343,PHPP 839,57.0,1,64.67255299894693,48,1067,7.6725529989469266
11317,PHPP 839,87.0,2,79.32793039771249,54,1067,7.6720696022875075
11866,PHR 405,88.0,2,80.32886946884584,49,1329,7.671130531154162
12171,PHBM 848,85.0,1,77.32917111231785,51,1165,7.670828887682148
14843,PHR 015,89.0,1,81.33245740297787,48,1165,7.667542597022134
14207,PHPP 840,90.0,1,82.33398470512721,39,1115,7.666015294872793
13335,PHBM 947,79.0,2,71.33447372538315,43,1417,7.665526274616852
8343,PHCC 924,57.0,2,64.66476800878199,48,1110,7.664768008781991
8129,PHPP 840,96.0,1,88.33613594366457,53,1115,7.663864056335427
24862,PHPT 833,59.0,2,66.66372669003285,37,1161,7.663726690032846
25388,PHPT 030,72.0,1,64.33692527258087,58,950,7.663074727419129
6895,PHBM 848,55.0,2,62.659087770736804,54,1165,7.659087770736804
10099,PHBM 848,69.0,2,61.344244122105295,49,1165,7.6557558778947055
33965,PHBM 654,77.0,1,69.34561258149307,14,1690,7.6543874185069285
28369,PHBM 654,73.0,1,80.65165018559702,26,1690,7.6516501855970205
28466,PHR 718,58.0,2,65.65127763312418,28,1275,7.651277633124181
33665,PHR 209,67.0,1,74.6490354253408,11,1940,7.649035425340799
7313,PHPP 642,64.0,2,56.35166172801249,43,1493,7.648338271987512
23224,PHBM 552,72.0,2,64.35171423055613,33,1437,7.6482857694438735
34086,PHCC225,55.0,2,47.35346812134932,10,2218,7.646531878650677
